yinz_id,timestamp,question,choice_text
0ff3b3dc-7295-4f9f-8d71-a3f46d300a97,6/12/2024 0:39,Rate the in-game entertainment 1-5: Halftime,5
0ff3b3dc-7295-4f9f-8d71-a3f46d300a97,6/12/2024 0:39,Rate the in-game entertainment 1-5: Music/DJ,5
0ff3b3dc-7295-4f9f-8d71-a3f46d300a97,6/12/2024 0:39,How did you get your tickets for the game?,Ticketmaster
612e2b15-4aef-41d3-91bb-266dc8cfe2c1,6/12/2024 0:00,Rate the in-game entertainment 1-5: Timeouts,4
612e2b15-4aef-41d3-91bb-266dc8cfe2c1,6/12/2024 0:00,Rate the in-game entertainment 1-5: Timeouts,1
612e2b15-4aef-41d3-91bb-266dc8cfe2c1,6/12/2024 0:00,How did you hear about the game?,Social
612e2b15-4aef-41d3-91bb-266dc8cfe2c1,6/12/2024 0:00,Rate the in-game entertainment 1-5: Host,5
612e2b15-4aef-41d3-91bb-266dc8cfe2c1,6/12/2024 0:00,Rate the in-game entertainment 1-5: Timeouts,4
612e2b15-4aef-41d3-91bb-266dc8cfe2c1,6/12/2024 0:00,Rate the in-game entertainment 1-5: Giveaway,5
612e2b15-4aef-41d3-91bb-266dc8cfe2c1,6/12/2024 0:00,Rate the in-game entertainment 1-5: Halftime,5
612e2b15-4aef-41d3-91bb-266dc8cfe2c1,6/12/2024 0:00,Rate the in-game entertainment 1-5: Music/DJ,5
612e2b15-4aef-41d3-91bb-266dc8cfe2c1,6/11/2024 23:59,How long did you wait in the security line?,0-10 Minutes
612e2b15-4aef-41d3-91bb-266dc8cfe2c1,6/11/2024 23:59,How did you get your tickets for the game?,Other
612e2b15-4aef-41d3-91bb-266dc8cfe2c1,6/11/2024 23:59,Are you a season ticket holder?,Yes
612e2b15-4aef-41d3-91bb-266dc8cfe2c1,6/11/2024 23:59,Rate your overall experience,5
ae3efd1b-aa03-45a3-85c1-ba767c45c3d3,6/11/2024 21:59,Rate the in-game entertainment 1-5: Host,5
ae3efd1b-aa03-45a3-85c1-ba767c45c3d3,6/11/2024 21:59,Rate the in-game entertainment 1-5: Host,4
ae3efd1b-aa03-45a3-85c1-ba767c45c3d3,6/11/2024 21:58,How long did you wait in the security line?,11-20 Minutes
082ae2c6-8735-425c-8da3-725b7bdeec30,6/11/2024 19:25,Rate the in-game entertainment 1-5: Host,5
082ae2c6-8735-425c-8da3-725b7bdeec30,6/11/2024 19:25,Rate the in-game entertainment 1-5: Timeouts,5
082ae2c6-8735-425c-8da3-725b7bdeec30,6/11/2024 19:25,Rate the in-game entertainment 1-5: Giveaway,5
082ae2c6-8735-425c-8da3-725b7bdeec30,6/11/2024 19:25,Rate the in-game entertainment 1-5: Halftime,5
082ae2c6-8735-425c-8da3-725b7bdeec30,6/11/2024 19:25,Rate the in-game entertainment 1-5: Music/DJ,5
082ae2c6-8735-425c-8da3-725b7bdeec30,6/11/2024 19:25,How long did you wait in the security line?,0-10 Minutes
082ae2c6-8735-425c-8da3-725b7bdeec30,6/11/2024 19:25,How long did you wait in the security line?,11-20 Minutes
082ae2c6-8735-425c-8da3-725b7bdeec30,6/11/2024 19:25,How long did you wait in the security line?,11-20 Minutes
082ae2c6-8735-425c-8da3-725b7bdeec30,6/11/2024 19:25,How long did you wait in the security line?,0-10 Minutes
082ae2c6-8735-425c-8da3-725b7bdeec30,6/11/2024 19:24,How did you get your tickets for the game?,Ticketmaster
082ae2c6-8735-425c-8da3-725b7bdeec30,6/11/2024 19:24,Are you a season ticket holder?,Yes
082ae2c6-8735-425c-8da3-725b7bdeec30,6/11/2024 19:24,Rate your overall experience,5
082ae2c6-8735-425c-8da3-725b7bdeec30,6/11/2024 19:24,Rate your overall experience,1
082ae2c6-8735-425c-8da3-725b7bdeec30,6/11/2024 19:24,Rate your overall experience,4
da36733f-163d-464b-a2bf-46889c6c755a,6/11/2024 16:03,Rate the in-game entertainment 1-5: Giveaway,3
da36733f-163d-464b-a2bf-46889c6c755a,6/11/2024 16:03,Rate the in-game entertainment 1-5: Halftime,2
da36733f-163d-464b-a2bf-46889c6c755a,6/11/2024 16:03,Are you a season ticket holder?,Yes
da36733f-163d-464b-a2bf-46889c6c755a,6/11/2024 16:03,Are you a season ticket holder?,No (Learn More)
cafa9005-fcf3-472c-900a-012d2c261cd2,6/11/2024 15:39,Rate your overall experience,3
cafa9005-fcf3-472c-900a-012d2c261cd2,6/11/2024 15:39,Rate the in-game entertainment 1-5: Timeouts,2
cafa9005-fcf3-472c-900a-012d2c261cd2,6/11/2024 15:39,Rate the in-game entertainment 1-5: Host,2
cafa9005-fcf3-472c-900a-012d2c261cd2,6/11/2024 15:39,Rate the in-game entertainment 1-5: Giveaway,1
cafa9005-fcf3-472c-900a-012d2c261cd2,6/11/2024 15:39,Rate the in-game entertainment 1-5: Halftime,2
cafa9005-fcf3-472c-900a-012d2c261cd2,6/11/2024 15:38,Rate the in-game entertainment 1-5: Music/DJ,1
cafa9005-fcf3-472c-900a-012d2c261cd2,6/11/2024 15:38,Are you a season ticket holder?,Yes
cafa9005-fcf3-472c-900a-012d2c261cd2,6/11/2024 15:38,How did you get your tickets for the game?,Box Office
16c538f6-843f-4901-92f7-3e0a47d32d69,6/11/2024 14:34,Rate the in-game entertainment 1-5: Host,4
16c538f6-843f-4901-92f7-3e0a47d32d69,6/11/2024 14:34,Rate the in-game entertainment 1-5: Timeouts,3
16c538f6-843f-4901-92f7-3e0a47d32d69,6/11/2024 14:34,Rate the in-game entertainment 1-5: Giveaway,3
16c538f6-843f-4901-92f7-3e0a47d32d69,6/11/2024 14:34,Rate the in-game entertainment 1-5: Halftime,5
16c538f6-843f-4901-92f7-3e0a47d32d69,6/11/2024 14:34,Rate the in-game entertainment 1-5: Music/DJ,5
16c538f6-843f-4901-92f7-3e0a47d32d69,6/11/2024 14:34,How long did you wait in the security line?,31+ Minutes
16c538f6-843f-4901-92f7-3e0a47d32d69,6/11/2024 14:33,Are you a season ticket holder?,Yes
16c538f6-843f-4901-92f7-3e0a47d32d69,6/11/2024 14:33,Rate your overall experience,4
4f2d7d3e-705e-495b-8956-5ff54dfb31cc,6/11/2024 13:43,Rate the in-game entertainment 1-5: Timeouts,3
4f2d7d3e-705e-495b-8956-5ff54dfb31cc,6/11/2024 13:43,Rate the in-game entertainment 1-5: Giveaway,1
4f2d7d3e-705e-495b-8956-5ff54dfb31cc,6/11/2024 13:43,Rate the in-game entertainment 1-5: Halftime,3
4f2d7d3e-705e-495b-8956-5ff54dfb31cc,6/11/2024 13:43,Rate the in-game entertainment 1-5: Halftime,2
4f2d7d3e-705e-495b-8956-5ff54dfb31cc,6/11/2024 13:43,Rate the in-game entertainment 1-5: Music/DJ,3
4f2d7d3e-705e-495b-8956-5ff54dfb31cc,6/11/2024 13:42,How long did you wait in the security line?,0-10 Minutes
4f2d7d3e-705e-495b-8956-5ff54dfb31cc,6/11/2024 13:42,Rate your overall experience,4
d301f646-b74d-4209-acc3-a05756d54bb2,6/11/2024 11:55,Rate your overall experience,4
a9621374-3f9a-43e8-90da-2068dc23ac8f,6/11/2024 11:52,Rate your overall experience,5
a9621374-3f9a-43e8-90da-2068dc23ac8f,6/11/2024 11:52,Are you a season ticket holder?,No (Learn More)
dfd4b8c3-fb29-41b2-b90e-eaee936e5add,6/11/2024 11:49,Rate the in-game entertainment 1-5: Halftime,5
dfd4b8c3-fb29-41b2-b90e-eaee936e5add,6/11/2024 11:49,Rate the in-game entertainment 1-5: Music/DJ,1
ad82c573-92e9-42f8-a0b9-8fbe8cde49e5,6/11/2024 11:47,Are you a season ticket holder?,Yes
023702da-da66-4aa1-9580-17930e8a5396,6/11/2024 11:29,Rate the in-game entertainment 1-5: Halftime,5
023702da-da66-4aa1-9580-17930e8a5396,6/11/2024 11:29,How long did you wait in the security line?,21-30 Minutes
023702da-da66-4aa1-9580-17930e8a5396,6/11/2024 11:28,How did you get your tickets for the game?,Ticketmaster
3bc7ddee-c114-4fb4-9e41-447e67022dde,6/11/2024 10:57,How did you get your tickets for the game?,Other
3bc7ddee-c114-4fb4-9e41-447e67022dde,6/11/2024 10:57,Rate the in-game entertainment 1-5: Music/DJ,2
3bc7ddee-c114-4fb4-9e41-447e67022dde,6/11/2024 10:56,How did you get your tickets for the game?,Sun Front Office
1538b3b2-1f83-4026-a004-ea3eb78513de,6/11/2024 6:31,Rate the in-game entertainment 1-5: Host,1
1538b3b2-1f83-4026-a004-ea3eb78513de,6/11/2024 6:31,Rate the in-game entertainment 1-5: Timeouts,1
1538b3b2-1f83-4026-a004-ea3eb78513de,6/11/2024 6:31,Rate the in-game entertainment 1-5: Giveaway,1
1538b3b2-1f83-4026-a004-ea3eb78513de,6/11/2024 6:31,How long did you wait in the security line?,21-30 Minutes
1538b3b2-1f83-4026-a004-ea3eb78513de,6/11/2024 6:31,Rate the in-game entertainment 1-5: Halftime,1
1538b3b2-1f83-4026-a004-ea3eb78513de,6/11/2024 6:31,Rate the in-game entertainment 1-5: Music/DJ,1
1538b3b2-1f83-4026-a004-ea3eb78513de,6/11/2024 6:31,How did you hear about the game?,TV
